VGS,VDS,TEMP,t,Vtc,Vtg,Idlin,Idsat,dVtc,dVtg,dIdlin,dIdsat
-1.2,-1.2,85.0,0,,-1.2,0.0,-1.2,0,0,0,0
-1.2,-1.2,85.0,1,,-1.2005,0.0,-1.188,,-0.0004999999999999449,0.0,0.01200000000000001
-1.2,-1.2,85.0,10,,-1.2007924465962305,0.0,-1.1809812816904666,,-0.0007924465962305671,0.0,0.01901871830953339
-1.2,-1.2,85.0,100,,-1.2012559432157548,0.0,-1.169857362821885,,-0.00125594321575484,0.0,0.03014263717811505
-1.2,-1.2,85.0,1000.0,,-1.2019905358527674,0.0,-1.1522271395335801,,-0.0019905358527674277,0.0,0.04777286046641982
-1.2,-1.2,85.0,10000.0,,-1.2031547867224008,0.0,-1.1242851186623768,,-0.003154786722400882,0.0,0.07571488133762316
-1.2,-1.2,85.0,100000.0,,-1.2049999999999998,0.0,-1.08,,-0.004999999999999893,0.0,0.11999999999999988
