W_um,Vth_gmmax,gmmax,Id_lin,Id_sat,Vdsat_approx
0.5,1.05,1.28176535e-05,5.71673549e-06,1.2774557579999999e-05,0.0
1.0,0.91,3.011760749999998e-05,1.91906701e-05,5.437796534e-05,0.0
10.0,0.77,0.0003566250799999994,0.000286670355,0.0009897406536,0.0
