VGS,VDS,TEMP,t,Vtc,Vtg,Idlin,Idsat,dVtc,dVtg,dIdlin,dIdsat
1.2,1.2,85.0,0.0,0.922427315446031,1.2,0.0,0.05,0.0,0.0,0.0,0.0
1.2,1.2,85.0,1,0.9229273154460309,1.2005,0.0,0.0495,0.0004999999999999449,0.0004999999999999449,0.0,-0.0005000000000000004
1.2,1.2,85.0,10,0.9232197620422615,1.2007924465962305,0.0,0.04920755340376945,0.0007924465962305671,0.0007924465962305671,0.0,-0.0007924465962305532
1.2,1.2,85.0,100,0.9236832586617858,1.2012559432157548,0.0,0.04874405678424521,0.00125594321575484,0.00125594321575484,0.0,-0.0012559432157547915
1.2,1.2,85.0,1000.0,0.9244178512987985,1.2019905358527674,0.0,0.04800946414723251,0.0019905358527675387,0.0019905358527674277,0.0,-0.00199053585276749
1.2,1.2,85.0,10000.0,0.925582102168432,1.2031547867224008,0.0,0.04684521327759904,0.003154786722400993,0.003154786722400882,0.0,-0.003154786722400965
1.2,1.2,85.0,100000.0,0.927427315446031,1.2049999999999998,0.0,0.045000000000000005,0.0050000000000000044,0.004999999999999893,0.0,-0.0049999999999999975
